activity,group,nact,rate
S,EWf,B,0.02179008273912445
S,EWf,E,0.015112934937104467
S,EWf,S,0.01220493664720533
S,EWf,V,0.024126949115746858
S,RJf,B,0.02813060943309195
S,RAf,B,0.028660886808833375
U,ST,E,0.07474458096612559
U,ST,U,0.22021394986278583
V,KI,V,0.020090799640345706
V,ST,V,0.1326334974782413
V,EWm,O,0.019602884190740712
V,EWm,R,0.0043424900669572246
V,EWm,V,0.011603666108989353
V,RJm,O,0.04033574149437697
V,RJm,V,0.07128879556165293
V,RAm,O,0.07663114295475747
V,RAm,V,0.08081016641163963
V,NEf,O,0.045973077215630744
V,NEf,V,0.07009611925886247
V,EWf,O,0.02589147528114511
V,EWf,R,0.005051200322206116
V,EWf,V,0.027639403910699665
V,RJf,O,0.04677566477910973
V,RJf,V,0.0829772038608952
V,RAf,O,0.03102251333874403
V,RAf,V,0.07243700686470536
Z,AZ,B,0.052195822751387254
Z,AZ,O,0.06297797130069797
Z,AZ,Z,0.02370901813781689
