Zählobjekt-Nummer;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106
Zählobjekt;Strecke 51843548(3537419->3537420) ;Strecke 51843548(3537420->3537419) ;Strecke 51844399(3078558->3474424) ;Strecke 51844399(3474424->3078558) ;Strecke 51844800(2796359->2994757) ;Strecke 51844800(2994757->2796359) ;Strecke 51845262(2796337->3076246) ;Strecke 51845262(3076246->2796337) ;Strecke 586497678(3162700->3454843) ;Strecke 586497678(3454843->3162700) ;Strecke 586500052(2803672->2905140) ;Strecke 586500052(2905140->2803672) ;Strecke 716720231(3128892->3632704) ;Strecke 716720231(3632704->3128892) ;Strecke 808223120(3386158->3613363) ;Strecke 808223120(3613363->3386158) ;Strecke 826756841(3343448->3620821) ;Strecke 826756841(3620821->3343448) ;Strecke 925123163(2840253->3613380) ;Strecke 925123163(3613380->2840253) ;Strecke 925124117(2848395->2896374) ;Strecke 925124117(2896374->2848395) ;Strecke 925127969(3036704->3076246) ;Strecke 925127969(3076246->3036704) ;Strecke 925128626(3016325->3270952) ;Strecke 925128626(3270952->3016325) ;Strecke 925129607(3196492->3386158) ;Strecke 925129607(3386158->3196492) ;Strecke 925132616(3046489->3356010) ;Strecke 925132616(3356010->3046489) ;Strecke 925135396(2976294->3638913) ;Strecke 925135396(3638913->2976294) ;Strecke 925135433(3137976->3213756) ;Strecke 925135433(3213756->3137976) ;Strecke 925137060(2803453->3085856) ;Strecke 925137060(3085856->2803453) ;Strecke 925137350(2974471->3198835) ;Strecke 925137350(3198835->2974471) ;Strecke 925138003(3628998->3655529) ;Strecke 925138003(3655529->3628998) ;Strecke 925138138(2928011->3365694) ;Strecke 925138138(3365694->2928011) ;Strecke 930000061(2839222->2872462) ;Strecke 930000061(2872462->2839222) ;Strecke 930000064(2893300->2959806) ;Strecke 930000064(2959806->2893300) ;Strecke 930000165(3203732->3504994) ;Strecke 930000165(3504994->3203732) ;Strecke 930000187(3118892->3240544) ;Strecke 930000187(3240544->3118892) ;Strecke 930000193(2839222->3517226) ;Strecke 930000193(3517226->2839222) ;Strecke 930000349(3291693->4244167) ;Strecke 930000349(4244167->3291693) ;Strecke 930000362(2812591->3116825) ;Strecke 930000362(3116825->2812591) ;Strecke 930000391(3526173->3625203) ;Strecke 930000391(3625203->3526173) ;Strecke 930000409(2829257->3404693) ;Strecke 930000409(3404693->2829257) ;Strecke 930000546(3542955->4244177) ;Strecke 930000546(4244177->3542955) ;Strecke 930000653(3589799->4244199) ;Strecke 930000653(4244199->3589799) ;Strecke 930001512(2100000164->2100000170) ;Strecke 930001512(2100000170->2100000164) ;Strecke 930002130(2100000186->2100000188) ;Strecke 930002130(2100000188->2100000186) ;Strecke 930002556(4244245->2100000173) ;Strecke 930002556(2100000173->4244245) ;Strecke 930002596(4244250->4244254) ;Strecke 930002596(4244254->4244250) ;Strecke 930003925(3281869->7000016) ;Strecke 930003925(7000016->3281869) ;Screenline 1 ;Screenline 2 ;Screenline 3 ;Screenline 4 ;Screenline 5 ;Screenline 6 ;Screenline 7 ;Screenline 8 ;Screenline 9 ;Screenline 10 ;Screenline 11 ;Screenline 12 ;Screenline 13 ;Screenline 14 ;Screenline 15 ;Screenline 16 ;Screenline 19 ;Screenline 20 ;Screenline 24 ;Screenline 25 ;Screenline 28 ;Screenline 29 ;Screenline 32 ;Screenline 33 ;Screenline 34 ;Screenline 35 ;Screenline 36 ;Screenline 37 ;Screenline 38 ;Screenline 39 ;Screenline 40 ;Screenline 41 
6;340.06;237.41;230.48;211.66;584.21;563.21;458.68;440.07;332.22;311.83;372.88;355.91;333.83;329.79;1969.86;1992.92;269.05;230.08;616.90;638.03;3007.39;3027.50;440.07;458.68;1321.92;4075.28;1669.42;1755.98;46731.95;50567.17;141.57;143.84;495.57;257.58;246.25;401.03;2231.63;2266.93;8541.57;8522.67;5664.03;5703.04;423.77;520.75;368.35;365.01;200.51;207.28;704.15;720.24;494.07;459.13;1688.81;1731.99;586.87;491.46;2213.28;2462.60;1816.81;2076.60;960.17;894.04;5838.56;2985.19;6663.94;3259.78;2176.50;3484.84;6029.49;3704.26;459.94;2936.05;296.00;312.47;3052.46;3371.62;2009.98;2038.88;5405.01;5264.82;10972.13;10965.82;1711.34;1723.16;728.36;726.11;676.33;733.81;2202.41;2236.44;14296.42;18087.23;7224.27;7274.76;5695.64;6349.66;356.17;672.64;2984.33;3212.36;225.03;222.47;3964.39;3536.89;1151.15;1131.97
7;184.40;128.05;123.89;113.78;320.34;310.81;252.02;239.67;182.31;173.96;203.56;193.36;186.76;186.30;1093.94;1137.34;147.55;126.77;343.54;351.18;1745.65;1744.74;239.67;252.02;465.47;1286.87;949.26;1000.67;13402.40;14493.89;82.48;83.93;272.47;137.38;134.18;188.82;1290.13;1312.05;4899.41;4893.04;3265.54;3271.00;227.82;281.01;195.29;190.54;113.32;118.00;373.19;377.37;266.08;250.79;889.35;924.52;311.16;261.59;1242.85;1343.40;998.26;1141.39;534.32;495.43;2544.33;1732.75;2072.38;1048.60;704.90;1108.47;1797.53;1138.33;258.08;1000.99;165.15;174.65;1592.32;1800.82;1085.45;1096.33;2858.75;2824.92;5989.49;6022.29;918.23;920.56;398.53;396.30;376.01;407.90;1200.91;1229.68;4748.31;5905.74;3896.30;4009.55;3199.29;3485.00;187.97;367.37;1632.45;1719.22;124.59;121.71;1448.24;1326.43;624.25;617.18
8;156.59;108.28;104.56;96.44;276.52;268.68;218.20;206.48;158.17;152.58;173.46;164.02;163.99;164.62;958.83;1012.65;126.36;109.24;300.31;303.74;1570.78;1568.99;206.48;218.20;206.98;423.62;850.63;897.00;3649.68;3942.72;73.46;74.75;236.29;116.79;114.48;142.25;1175.70;1178.28;4389.70;4388.71;2925.13;2924.33;191.00;237.31;162.98;157.62;99.65;104.16;311.26;312.26;224.96;216.10;735.81;775.96;260.55;217.67;1097.53;1164.47;861.23;983.73;466.81;430.10;1663.17;1560.52;645.51;364.79;245.70;368.29;535.45;357.06;223.41;379.64;142.93;151.41;1321.90;1522.23;918.25;921.69;2397.62;2397.57;5141.94;5186.56;782.86;780.79;343.24;340.92;329.28;355.79;1030.95;1060.25;1805.41;2110.90;3323.20;3463.69;2794.56;2996.86;158.20;317.37;1402.91;1454.11;108.71;105.36;663.70;640.50;515.77;511.85
9;163.03;113.08;108.50;100.35;286.52;278.52;226.09;214.41;162.04;155.91;180.57;170.99;168.59;168.80;978.61;1032.42;131.02;112.87;308.58;313.85;1588.87;1590.39;214.41;226.09;165.52;181.18;869.85;915.28;1080.18;1157.69;74.04;75.43;245.55;121.56;119.31;151.33;1198.85;1194.57;4468.13;4463.81;2966.69;2972.53;199.82;246.47;171.31;165.59;101.92;106.27;326.05;327.11;234.05;222.62;778.90;816.74;272.40;229.08;1128.14;1200.63;894.10;1019.61;480.47;443.98;1557.90;1574.84;249.12;185.84;118.90;162.27;187.42;138.57;224.71;221.13;146.58;154.84;1380.65;1582.30;961.20;967.49;2501.11;2497.23;5317.01;5353.63;817.59;816.35;355.95;353.57;338.17;365.26;1068.11;1095.99;1073.30;1120.19;3463.01;3590.94;2878.64;3109.98;165.87;330.39;1450.06;1518.26;112.33;109.13;558.43;563.14;528.05;523.51
10;161.81;112.15;107.70;99.70;286.23;278.32;225.51;213.84;161.59;155.71;179.09;169.45;168.51;168.73;980.33;1037.67;130.10;112.25;308.54;313.71;1602.32;1601.62;213.84;225.51;175.46;131.54;878.02;923.34;461.84;480.05;74.36;75.97;245.52;121.42;118.48;149.02;1218.17;1217.69;4503.02;4502.22;2979.98;2980.07;197.63;244.36;169.90;164.38;101.95;106.38;323.51;324.77;232.17;221.84;768.46;809.50;270.20;226.33;1135.33;1204.23;892.10;1016.82;480.31;442.96;1589.66;1581.04;166.40;168.49;96.66;125.72;97.37;87.94;228.37;216.78;146.92;155.26;1370.41;1572.77;952.35;955.82;2488.40;2486.70;5301.09;5344.34;818.10;817.18;353.58;351.28;338.42;364.78;1063.37;1092.36;1027.64;1025.34;3456.45;3587.00;2877.49;3101.33;165.62;330.61;1457.46;1518.85;112.55;109.17;589.77;590.83;533.01;527.75
11;166.51;115.52;110.71;102.56;294.71;286.78;232.18;220.37;165.36;159.26;184.32;174.36;172.94;173.05;1003.98;1063.55;133.66;115.21;316.33;322.30;1640.77;1641.67;220.37;232.18;173.75;138.31;902.93;948.47;396.47;396.28;76.26;77.44;253.12;125.21;122.08;154.00;1256.27;1253.67;4623.12;4620.46;3047.79;3051.36;203.61;251.20;175.60;169.89;104.37;108.80;333.42;335.10;238.80;227.55;794.68;836.17;278.31;233.49;1168.49;1238.30;918.81;1045.84;493.39;455.12;1613.24;1612.91;173.48;173.51;99.89;133.54;90.52;91.03;232.63;220.48;150.29;158.94;1410.91;1617.07;981.16;985.54;2564.26;2561.91;5444.60;5489.48;844.78;843.80;363.37;361.05;347.15;373.75;1093.46;1122.64;1044.42;1050.46;3565.25;3694.40;2955.96;3192.64;171.34;341.35;1502.79;1568.19;115.95;112.46;591.18;593.86;543.79;538.95
12;170.91;118.64;113.67;105.39;303.59;295.41;239.05;227.00;169.80;163.54;189.36;179.10;177.86;177.91;1033.99;1096.23;137.15;118.27;325.26;331.84;1693.47;1694.24;227.00;239.05;180.42;141.18;933.74;980.06;427.29;430.21;78.33;79.82;260.99;129.05;125.59;158.29;1304.09;1302.13;4771.95;4771.08;3137.93;3139.57;208.98;257.84;180.67;174.91;107.39;111.94;342.90;344.50;245.02;233.62;816.50;860.28;285.99;239.71;1207.53;1277.75;946.37;1076.23;508.09;468.38;1662.13;1658.61;177.81;178.19;102.93;135.69;96.44;93.61;239.45;227.19;154.56;163.35;1448.09;1659.78;1007.69;1011.41;2638.18;2636.83;5597.64;5645.31;872.36;871.78;373.08;370.72;356.86;383.87;1124.15;1154.10;1078.12;1081.33;3675.67;3806.60;3042.61;3287.41;176.66;352.19;1550.62;1617.51;119.53;115.92;612.13;614.31;560.68;555.33
13;177.03;122.97;117.75;109.23;315.13;306.73;248.06;235.68;175.68;169.15;196.35;185.67;184.22;184.24;1071.79;1136.75;142.00;122.46;336.82;344.09;1757.06;1758.32;235.68;248.06;186.36;146.53;970.61;1017.99;437.10;439.02;81.10;82.48;271.12;134.01;130.35;164.37;1359.44;1357.12;4953.93;4953.09;3250.19;3252.29;216.66;267.12;187.69;181.75;111.18;115.86;355.74;357.46;253.76;241.77;847.83;893.76;296.48;248.63;1255.64;1326.91;982.79;1116.25;526.93;485.65;1718.76;1715.90;183.94;184.43;106.31;140.84;98.52;96.70;247.89;235.10;160.03;169.19;1499.77;1718.47;1044.79;1048.36;2737.23;2736.33;5800.02;5851.06;906.90;906.47;386.42;383.98;369.38;397.12;1165.26;1196.08;1114.31;1118.81;3819.15;3953.28;3155.69;3411.80;183.62;366.13;1612.24;1681.50;124.12;120.36;632.13;634.56;580.00;574.58
14;183.69;127.68;122.23;113.45;327.75;319.02;257.91;245.13;182.31;175.48;204.01;192.90;191.26;191.27;1114.24;1181.95;147.35;127.09;349.69;357.63;1828.28;1829.77;245.13;257.91;193.69;152.16;1011.16;1059.86;456.09;458.43;84.15;85.62;282.15;139.39;135.54;170.94;1419.74;1417.42;5155.00;5154.68;3376.51;3378.33;225.02;277.30;195.23;189.09;115.47;120.32;369.72;371.35;263.33;250.80;881.63;930.03;307.96;258.34;1308.43;1381.07;1022.61;1160.22;547.72;504.72;1784.83;1781.53;191.05;191.50;110.47;146.11;102.66;100.43;257.45;244.22;166.17;175.67;1555.81;1782.69;1085.30;1088.57;2844.81;2844.77;6023.87;6077.99;944.40;944.27;401.16;398.60;383.22;411.93;1210.36;1242.18;1157.40;1162.00;3975.06;4113.46;3280.54;3548.13;191.03;381.19;1678.64;1750.59;129.10;125.21;656.53;658.99;602.26;596.57
15;190.69;132.63;126.93;117.87;340.84;331.76;268.13;254.92;189.27;182.13;212.02;200.46;198.60;198.61;1158.26;1228.70;152.97;131.97;363.13;371.68;1901.61;1903.36;254.92;268.13;201.16;158.09;1052.60;1102.76;473.95;476.33;87.34;88.85;293.56;144.96;140.94;177.79;1480.73;1478.33;5362.02;5361.83;3507.73;3509.67;233.79;288.00;203.08;196.71;119.94;124.96;384.28;385.85;273.41;260.28;917.02;967.84;319.97;268.53;1362.60;1436.83;1063.95;1205.95;569.25;524.53;1853.50;1850.12;198.33;198.82;114.66;151.72;106.50;104.23;267.40;253.66;172.57;182.45;1614.72;1850.21;1127.77;1130.83;2956.73;2957.47;6257.58;6314.59;982.86;982.99;416.63;413.95;397.68;427.45;1257.46;1290.31;1201.64;1206.66;4136.12;4279.35;3410.32;3689.61;198.69;396.73;1747.10;1821.95;134.26;130.23;681.52;684.08;625.28;619.35
16;197.29;137.29;131.37;122.03;353.08;343.67;277.71;264.07;195.85;188.42;219.55;207.57;205.51;205.52;1199.60;1272.56;158.28;136.56;375.79;384.87;1970.26;1972.21;264.07;277.71;208.23;163.67;1091.19;1142.78;491.05;493.53;90.35;91.91;304.21;150.16;146.00;184.20;1537.12;1534.68;5555.53;5555.41;3631.18;3633.25;242.04;298.08;210.42;203.83;124.14;129.34;397.94;399.43;282.93;269.24;950.21;1003.23;331.28;278.12;1413.06;1488.94;1102.62;1248.85;589.45;543.13;1918.43;1914.93;205.25;205.74;118.65;157.00;110.23;107.84;276.81;262.59;178.61;188.83;1670.27;1913.90;1167.71;1170.60;3061.64;3063.06;6477.58;6537.05;1018.73;1019.08;431.22;428.42;411.31;442.11;1301.74;1335.57;1243.55;1248.90;4286.51;4434.47;3532.09;3822.16;205.84;411.22;1810.90;1888.55;139.08;134.92;705.22;707.86;647.07;640.89
17;202.90;141.24;135.13;125.55;363.43;353.73;285.81;271.80;201.43;193.77;225.92;213.59;211.36;211.38;1234.53;1309.59;162.79;140.46;386.53;396.01;2028.10;2030.21;271.80;285.81;214.22;168.40;1123.60;1176.44;505.43;507.99;92.91;94.51;313.19;154.56;150.27;189.60;1584.23;1581.73;5718.57;5718.46;3735.63;3737.85;249.03;306.63;216.62;209.84;127.71;133.05;409.50;410.94;291.01;276.86;978.28;1033.09;340.86;286.23;1455.46;1532.84;1135.24;1285.14;606.52;558.87;1973.44;1969.86;211.10;211.61;122.04;161.49;113.38;110.90;284.78;270.16;183.73;194.24;1717.54;1968.07;1201.56;1204.34;3150.39;3152.32;6664.06;6725.47;1048.92;1049.44;443.60;440.70;422.89;454.58;1339.27;1373.93;1279.08;1284.74;4413.24;4565.27;3634.99;3934.11;211.87;423.42;1864.63;1944.70;143.14;138.89;725.32;728.04;665.57;659.19
18;207.14;144.22;137.98;128.21;371.20;361.29;291.90;277.61;205.65;197.81;230.72;218.13;215.78;215.81;1260.80;1337.43;166.20;143.40;394.64;404.41;2071.53;2073.75;277.61;291.90;218.74;171.97;1147.87;1201.68;516.25;518.86;94.84;96.47;319.93;157.86;153.49;193.67;1619.35;1616.82;5840.98;5840.87;3814.33;3816.66;254.30;313.08;221.28;214.35;130.40;135.85;418.21;419.64;297.13;282.63;999.40;1055.52;348.09;292.35;1487.22;1565.79;1159.73;1312.45;619.38;570.72;2014.91;2011.26;215.53;216.04;124.60;164.88;115.77;113.22;290.81;275.88;187.60;198.33;1753.33;2009.06;1227.07;1229.80;3217.26;3219.50;6804.73;6867.56;1071.59;1072.22;452.95;449.97;431.65;464.01;1367.58;1402.88;1305.92;1311.80;4508.42;4663.51;3712.41;4018.31;216.42;432.58;1904.98;1986.89;146.20;141.86;740.52;743.29;679.57;673.04
19;209.96;146.20;139.87;129.97;376.35;366.29;295.93;281.46;208.44;200.49;233.91;221.14;218.71;218.74;1278.18;1355.86;168.46;145.36;400.02;409.97;2100.23;2102.52;281.46;295.93;221.75;174.34;1163.89;1218.35;523.40;526.05;96.12;97.78;324.39;160.05;155.62;196.36;1642.44;1639.87;5921.89;5921.78;3866.50;3868.89;257.80;317.36;224.36;217.34;132.18;137.71;423.98;425.41;301.19;286.46;1013.38;1070.35;352.88;296.40;1508.16;1587.57;1175.93;1330.55;627.90;578.57;2042.39;2038.70;218.46;218.98;126.30;167.13;117.35;114.76;294.80;279.67;190.16;201.04;1777.17;2036.32;1243.99;1246.69;3261.60;3264.01;6898.07;6961.81;1086.57;1087.26;459.15;456.13;437.48;470.28;1386.36;1422.10;1323.74;1329.77;4571.33;4728.46;3763.65;4074.04;219.43;438.63;1931.65;2014.78;148.23;143.84;750.63;753.43;688.88;682.24
20;211.57;147.33;140.95;130.98;379.29;369.15;298.23;283.66;210.05;202.02;235.73;222.85;220.39;220.42;1288.10;1366.38;169.76;146.48;403.10;413.15;2116.59;2118.91;283.66;298.23;223.46;175.70;1173.00;1227.86;527.48;530.15;96.86;98.52;326.93;161.30;156.83;197.89;1655.52;1652.94;5968.03;5967.92;3896.32;3898.75;259.80;319.81;226.11;219.04;133.20;138.77;427.29;428.72;303.52;288.66;1021.36;1078.80;355.62;298.71;1520.06;1599.98;1185.15;1340.89;632.77;583.06;2058.10;2054.39;220.14;220.67;127.28;168.42;118.25;115.64;297.09;281.84;191.63;202.59;1790.84;2051.96;1253.66;1256.36;3286.95;3289.42;6951.45;7015.70;1095.11;1095.83;462.70;459.65;440.83;473.88;1397.11;1433.09;1333.95;1340.06;4607.19;4765.47;3792.90;4105.83;221.15;442.08;1946.85;2030.68;149.38;144.96;756.41;759.23;694.21;687.52
21;212.34;147.87;141.46;131.45;380.67;370.49;299.32;284.69;210.80;202.75;236.58;223.66;221.19;221.22;1292.77;1371.33;170.37;147.01;404.56;414.65;2124.28;2126.62;284.69;299.32;224.27;176.34;1177.29;1232.32;529.40;532.08;97.21;98.88;328.12;161.88;157.40;198.61;1661.64;1659.05;5989.73;5989.63;3910.39;3912.83;260.74;320.96;226.94;219.84;133.68;139.27;428.84;430.27;304.62;289.70;1025.10;1082.76;356.92;299.80;1525.65;1605.82;1189.49;1345.76;635.06;585.18;2065.52;2061.79;220.94;221.46;127.74;169.03;118.68;116.06;298.16;282.87;192.33;203.32;1797.30;2059.35;1258.21;1260.91;3298.89;3301.39;6976.62;7041.11;1099.12;1099.85;464.37;461.32;442.41;475.58;1402.17;1438.28;1338.76;1344.91;4624.03;4782.87;3806.68;4120.79;221.96;443.70;1953.99;2038.13;149.93;145.49;759.15;761.98;696.73;690.01
22;212.60;148.05;141.63;131.61;381.13;370.95;299.68;285.04;211.06;203.00;236.87;223.94;221.46;221.49;1294.35;1373.01;170.58;147.19;405.05;415.15;2126.88;2129.22;285.04;299.68;224.55;176.55;1178.72;1233.83;530.05;532.73;97.33;99.00;328.52;162.08;157.59;198.85;1663.67;1661.08;5997.05;5996.94;3915.16;3917.61;261.06;321.36;227.22;220.11;133.84;139.44;429.36;430.80;304.99;290.06;1026.35;1084.08;357.35;300.17;1527.51;1607.78;1190.94;1347.40;635.84;585.89;2068.04;2064.31;221.21;221.73;127.89;169.24;118.83;116.20;298.53;283.21;192.56;203.57;1799.49;2061.86;1259.75;1262.45;3302.91;3305.42;6985.14;7049.71;1100.47;1101.20;464.94;461.88;442.95;476.16;1403.88;1440.03;1340.40;1346.55;4629.68;4788.72;3811.32;4125.82;222.23;444.24;1956.38;2040.63;150.11;145.67;760.07;762.91;697.58;690.85
23;212.61;148.06;141.64;131.62;381.16;370.97;299.71;285.06;211.08;203.02;236.89;223.95;221.48;221.51;1294.45;1373.12;170.59;147.20;405.08;415.19;2127.04;2129.38;285.06;299.71;224.56;176.56;1178.81;1233.92;530.09;532.77;97.33;99.01;328.55;162.09;157.61;198.87;1663.77;1661.18;5997.50;5997.40;3915.48;3917.93;261.08;321.38;227.23;220.12;133.85;139.45;429.39;430.83;305.01;290.08;1026.42;1084.15;357.38;300.19;1527.61;1607.90;1191.02;1347.50;635.89;585.94;2068.21;2064.48;221.22;221.75;127.90;169.25;118.84;116.21;298.55;283.23;192.57;203.59;1799.63;2062.03;1259.84;1262.55;3303.16;3305.66;6985.68;7050.25;1100.54;1101.27;464.98;461.91;442.98;476.20;1403.99;1440.14;1340.50;1346.66;4630.00;4789.05;3811.61;4126.12;222.25;444.27;1956.50;2040.76;150.12;145.68;760.13;762.97;697.63;690.90
24;212.55;148.01;141.60;131.58;381.04;370.86;299.61;284.97;211.01;202.95;236.82;223.88;221.41;221.44;1294.05;1372.69;170.54;147.15;404.96;415.06;2126.37;2128.71;284.97;299.61;224.49;176.51;1178.44;1233.54;529.92;532.60;97.31;98.98;328.44;162.04;157.56;198.81;1663.23;1660.63;5995.62;5995.52;3914.28;3916.73;260.99;321.28;227.16;220.05;133.81;139.41;429.26;430.69;304.92;289.99;1026.09;1083.80;357.27;300.09;1527.12;1607.39;1190.64;1347.08;635.69;585.75;2067.59;2063.85;221.16;221.68;127.86;169.20;118.80;116.17;298.46;283.14;192.52;203.53;1799.08;2061.40;1259.45;1262.15;3302.12;3304.62;6983.51;7048.06;1100.19;1100.91;464.83;461.77;442.85;476.06;1403.55;1439.70;1340.09;1346.24;4628.52;4787.53;3810.43;4124.82;222.18;444.13;1955.87;2040.09;150.07;145.63;759.90;762.73;697.41;690.69
25;212.48;147.96;141.55;131.54;380.91;370.73;299.51;284.87;210.94;202.89;236.74;223.81;221.33;221.37;1293.62;1372.23;170.48;147.10;404.82;414.92;2125.66;2128.00;284.87;299.51;224.42;176.45;1178.04;1233.12;529.74;532.42;97.27;98.94;328.33;161.99;157.50;198.74;1662.65;1660.06;5993.60;5993.50;3912.98;3915.42;260.91;321.17;227.08;219.98;133.77;139.36;429.11;430.55;304.82;289.90;1025.74;1083.43;357.15;299.99;1526.59;1606.84;1190.23;1346.63;635.48;585.56;2066.90;2063.17;221.08;221.61;127.82;169.14;118.76;116.13;298.36;283.05;192.45;203.46;1798.48;2060.72;1259.02;1261.73;3301.01;3303.51;6981.17;7045.70;1099.81;1100.53;464.68;461.62;442.71;475.90;1403.08;1439.21;1339.65;1345.78;4626.94;4785.90;3809.14;4123.42;222.10;443.98;1955.20;2039.39;150.02;145.58;759.64;762.48;697.18;690.45
26;212.43;147.93;141.52;131.51;380.82;370.64;299.44;284.81;210.89;202.84;236.68;223.75;221.28;221.31;1293.31;1371.91;170.44;147.07;404.73;414.82;2125.15;2127.49;284.81;299.44;224.37;176.41;1177.76;1232.83;529.61;532.29;97.25;98.92;328.25;161.95;157.46;198.69;1662.25;1659.65;5992.18;5992.07;3912.06;3914.50;260.84;321.10;227.03;219.93;133.74;139.33;429.01;430.45;304.74;289.83;1025.49;1083.16;357.06;299.92;1526.23;1606.46;1189.95;1346.31;635.33;585.42;2066.42;2062.69;221.03;221.56;127.79;169.10;118.73;116.11;298.29;282.98;192.41;203.41;1798.05;2060.23;1258.72;1261.43;3300.22;3302.72;6979.52;7044.03;1099.54;1100.27;464.57;461.51;442.60;475.79;1402.75;1438.87;1339.33;1345.47;4625.83;4784.76;3808.24;4122.44;222.05;443.87;1954.73;2038.89;149.99;145.55;759.47;762.30;697.01;690.29
27;212.40;147.91;141.50;131.49;380.77;370.59;299.40;284.77;210.87;202.81;236.65;223.73;221.25;221.28;1293.14;1371.73;170.42;147.05;404.68;414.77;2124.88;2127.21;284.77;299.40;224.34;176.38;1177.60;1232.67;529.55;532.22;97.24;98.91;328.21;161.93;157.44;198.66;1662.02;1659.43;5991.40;5991.29;3911.55;3914.00;260.81;321.06;227.00;219.90;133.72;139.31;428.96;430.39;304.70;289.79;1025.35;1083.02;357.01;299.88;1526.02;1606.25;1189.79;1346.13;635.24;585.34;2066.16;2062.43;221.00;221.53;127.77;169.08;118.72;116.09;298.25;282.94;192.38;203.38;1797.82;2059.96;1258.56;1261.27;3299.79;3302.29;6978.61;7043.12;1099.40;1100.12;464.51;461.45;442.55;475.73;1402.56;1438.69;1339.16;1345.29;4625.22;4784.13;3807.74;4121.90;222.02;443.81;1954.47;2038.62;149.97;145.53;759.37;762.20;696.92;690.20
