group_generation,code,Wege,activity,group_dest_mode,group_erzeugung,rate
EWoPM,WVAW,0.026856799705205325,N,EWoP,EWm,0.008952266568401777
EWePM,WEAW,0.02248279349577925,N,EWeP,EWm,0.007494264498593084
EWhPM,WEAW,0.02248279349577925,N,EWhP,EWm,0.007494264498593084
EWoPM,WEAW,0.02248279349577925,N,EWoP,EWm,0.007494264498593084
EWePM,WFAW,0.024824064253320115,N,EWeP,EWm,0.008274688084440039
EWhPM,WFAW,0.024824064253320115,N,EWhP,EWm,0.008274688084440039
EWoPM,WFAW,0.024824064253320115,N,EWoP,EWm,0.008274688084440039
EWePM,WGAW,0.01875643082210085,N,EWeP,EWm,0.00625214360736695
EWhPM,WGAW,0.01875643082210085,N,EWhP,EWm,0.00625214360736695
EWoPM,WGAW,0.01875643082210085,N,EWoP,EWm,0.00625214360736695
EWePM,WKAW,0.050099854629613284,N,EWeP,EWm,0.01669995154320443
EWhPM,WKAW,0.050099854629613284,N,EWhP,EWm,0.01669995154320443
EWoPM,WKAW,0.050099854629613284,N,EWoP,EWm,0.01669995154320443
EWePM,WMAW,0.02394887831072608,N,EWeP,EWm,0.007982959436908695
EWhPM,WMAW,0.02394887831072608,N,EWhP,EWm,0.007982959436908695
EWoPM,WMAW,0.02394887831072608,N,EWoP,EWm,0.007982959436908695
EWePM,WEBW,0.010927211335388813,N,EWeP,EWm,0.0036424037784629384
EWhPM,WEBW,0.010927211335388813,N,EWhP,EWm,0.0036424037784629384
EWoPM,WEBW,0.010927211335388813,N,EWoP,EWm,0.0036424037784629384
EWePM,WOBW,0.01821018161851451,N,EWeP,EWm,0.006070060539504837
EWhPM,WOBW,0.01821018161851451,N,EWhP,EWm,0.006070060539504837
EWoPM,WOBW,0.01821018161851451,N,EWoP,EWm,0.006070060539504837
EWePM,WRBW,0.007633875635525655,N,EWeP,EWm,0.002544625211841885
EWhPM,WRBW,0.007633875635525655,N,EWhP,EWm,0.002544625211841885
EWoPM,WRBW,0.007633875635525655,N,EWoP,EWm,0.002544625211841885
EWePM,WSBW,0.023516474842418183,N,EWeP,EWm,0.007838824947472726
EWhPM,WSBW,0.023516474842418183,N,EWhP,EWm,0.007838824947472726
EWoPM,WSBW,0.023516474842418183,N,EWoP,EWm,0.007838824947472726
EWePM,WVBW,0.01629423736497717,N,EWeP,EWm,0.00543141245499239
EWhPM,WVBW,0.01629423736497717,N,EWhP,EWm,0.00543141245499239
EWoPM,WVBW,0.01629423736497717,N,EWoP,EWm,0.00543141245499239
EWePM,WOEW,0.01409458325071071,N,EWeP,EWm,0.00469819441690357
EWhPM,WOEW,0.01409458325071071,N,EWhP,EWm,0.00469819441690357
EWoPM,WOEW,0.01409458325071071,N,EWoP,EWm,0.00469819441690357
EWePM,WVEW,0.004191128271752878,N,EWeP,EWm,0.001397042757250959
EWhPM,WVEW,0.004191128271752878,N,EWhP,EWm,0.001397042757250959
EWoPM,WVEW,0.004191128271752878,N,EWoP,EWm,0.001397042757250959
EWePM,WEFW,0.008214377024699758,N,EWeP,EWm,0.0027381256748999195
EWhPM,WEFW,0.008214377024699758,N,EWhP,EWm,0.0027381256748999195
EWoPM,WEFW,0.008214377024699758,N,EWoP,EWm,0.0027381256748999195
EWePM,WOFW,0.012936310563942384,N,EWeP,EWm,0.0043121035213141284
EWhPM,WOFW,0.012936310563942384,N,EWhP,EWm,0.0043121035213141284
EWoPM,WOFW,0.012936310563942384,N,EWoP,EWm,0.0043121035213141284
EWePM,WVFW,0.009825698232357164,N,EWeP,EWm,0.003275232744119055
EWhPM,WVFW,0.009825698232357164,N,EWhP,EWm,0.003275232744119055
EWoPM,WVFW,0.009825698232357164,N,EWoP,EWm,0.003275232744119055
EWePM,WVOW,0.017757827159593374,N,EWeP,EWm,0.0059192757198644605
EWhPM,WVOW,0.017757827159593374,N,EWhP,EWm,0.0059192757198644605
EWoPM,WVOW,0.017757827159593374,N,EWoP,EWm,0.0059192757198644605
EWePM,WROW,0.007727990661363432,N,EWeP,EWm,0.002575996887121144
EWhPM,WROW,0.007727990661363432,N,EWhP,EWm,0.002575996887121144
EWoPM,WROW,0.007727990661363432,N,EWoP,EWm,0.002575996887121144
EWePM,WESW,0.007650312641518935,N,EWeP,EWm,0.002550104213839645
EWhPM,WESW,0.007650312641518935,N,EWhP,EWm,0.002550104213839645
EWoPM,WESW,0.007650312641518935,N,EWoP,EWm,0.002550104213839645
EWePM,WVSW,0.00910331967703608,N,EWeP,EWm,0.0030344398923453607
EWhPM,WVSW,0.00910331967703608,N,EWhP,EWm,0.0030344398923453607
EWoPM,WVSW,0.00910331967703608,N,EWoP,EWm,0.0030344398923453607
EWePM,WRVW,0.0063183230474227635,N,EWeP,EWm,0.002106107682474254
EWhPM,WRVW,0.0063183230474227635,N,EWhP,EWm,0.002106107682474254
EWoPM,WRVW,0.0063183230474227635,N,EWoP,EWm,0.002106107682474254
RJePM,WAW,0.0974015405790908,N,RJeP,RJm,0.0487007702895454
RJhPM,WAW,0.0974015405790908,N,RJhP,RJm,0.0487007702895454
RJoPM,WAW,0.0974015405790908,N,RJoP,RJm,0.0487007702895454
RJePM,WBW,0.30458718742363,N,RJeP,RJm,0.152293593711815
RJhPM,WBW,0.30458718742363,N,RJhP,RJm,0.152293593711815
RJoPM,WBW,0.30458718742363,N,RJoP,RJm,0.152293593711815
RJePM,WEW,0.22085102498610595,N,RJeP,RJm,0.11042551249305298
RJhPM,WEW,0.22085102498610595,N,RJhP,RJm,0.11042551249305298
RJoPM,WEW,0.22085102498610595,N,RJoP,RJm,0.11042551249305298
RJePM,WFW,0.31793313293351777,N,RJeP,RJm,0.15896656646675889
RJhPM,WFW,0.31793313293351777,N,RJhP,RJm,0.15896656646675889
RJoPM,WFW,0.31793313293351777,N,RJoP,RJm,0.15896656646675889
RJePM,WOW,0.3908240271470152,N,RJeP,RJm,0.1954120135735076
RJhPM,WOW,0.3908240271470152,N,RJhP,RJm,0.1954120135735076
RJoPM,WOW,0.3908240271470152,N,RJoP,RJm,0.1954120135735076
RJePM,WRW,0.01817599453030528,N,RJeP,RJm,0.00908799726515264
RJhPM,WRW,0.01817599453030528,N,RJhP,RJm,0.00908799726515264
RJoPM,WRW,0.01817599453030528,N,RJoP,RJm,0.00908799726515264
RJePM,WSW,0.11699003004535426,N,RJeP,RJm,0.05849501502267713
RJhPM,WSW,0.11699003004535426,N,RJhP,RJm,0.05849501502267713
RJoPM,WSW,0.11699003004535426,N,RJoP,RJm,0.05849501502267713
RJePM,WTW,0.021724129974265604,N,RJeP,RJm,0.010862064987132802
RJhPM,WTW,0.021724129974265604,N,RJhP,RJm,0.010862064987132802
RJoPM,WTW,0.021724129974265604,N,RJoP,RJm,0.010862064987132802
RJePM,WVW,0.3580180779040352,N,RJeP,RJm,0.1790090389520176
RJhPM,WVW,0.3580180779040352,N,RJhP,RJm,0.1790090389520176
RJoPM,WVW,0.3580180779040352,N,RJoP,RJm,0.1790090389520176
RJePM,WABW,0.01578793766315484,N,RJeP,RJm,0.005262645887718278
RJhPM,WABW,0.01578793766315484,N,RJhP,RJm,0.005262645887718278
RJoPM,WABW,0.01578793766315484,N,RJoP,RJm,0.005262645887718278
RJePM,WBBW,0.18599698295446834,N,RJeP,RJm,0.061998994318156114
RJhPM,WBBW,0.18599698295446834,N,RJhP,RJm,0.061998994318156114
RJoPM,WBBW,0.18599698295446834,N,RJoP,RJm,0.061998994318156114
RJePM,WBVW,0.03046045144749414,N,RJeP,RJm,0.01015348381583138
RJhPM,WBVW,0.03046045144749414,N,RJhP,RJm,0.01015348381583138
RJoPM,WBVW,0.03046045144749414,N,RJoP,RJm,0.01015348381583138
RJePM,WEEW,0.14864649792141602,N,RJeP,RJm,0.049548832640471996
RJhPM,WEEW,0.14864649792141602,N,RJhP,RJm,0.049548832640471996
RJoPM,WEEW,0.14864649792141602,N,RJoP,RJm,0.049548832640471996
RJePM,WEOW,0.0156343424852357,N,RJeP,RJm,0.005211447495078568
RJhPM,WEOW,0.0156343424852357,N,RJhP,RJm,0.005211447495078568
RJoPM,WEOW,0.0156343424852357,N,RJoP,RJm,0.005211447495078568
RJePM,WEVW,0.06634908725781956,N,RJeP,RJm,0.022116362419273183
RJhPM,WEVW,0.06634908725781956,N,RJhP,RJm,0.022116362419273183
RJoPM,WEVW,0.06634908725781956,N,RJoP,RJm,0.022116362419273183
RJePM,WFFW,0.10948504572632302,N,RJeP,RJm,0.036495015242107666
RJhPM,WFFW,0.10948504572632302,N,RJhP,RJm,0.036495015242107666
RJoPM,WFFW,0.10948504572632302,N,RJoP,RJm,0.036495015242107666
RJePM,WFBW,0.13079601242168093,N,RJeP,RJm,0.04359867080722698
RJhPM,WFBW,0.13079601242168093,N,RJhP,RJm,0.04359867080722698
RJoPM,WFBW,0.13079601242168093,N,RJoP,RJm,0.04359867080722698
RJePM,WOOW,0.17821153078750065,N,RJeP,RJm,0.05940384359583355
RJhPM,WOOW,0.17821153078750065,N,RJhP,RJm,0.05940384359583355
